Activity,DietPreference,SleepHours,Age,RecommendedDiet
Low,Non-Veg,8.3,27,Low Carb
Low,Veg,8.2,31,Balanced
High,Vegan,4.0,31,High Protein
Medium,Vegan,7.7,24,Balanced
Medium,Vegan,8.3,40,Balanced
Low,Non-Veg,5.1,60,Low Carb
Low,Non-Veg,7.0,39,Low Carb
High,Non-Veg,5.4,53,Balanced
Low,Vegan,8.5,44,Balanced
High,Non-Veg,5.6,19,Balanced
Medium,Veg,5.8,56,Balanced
Medium,Non-Veg,6.3,68,Mediterranean
High,Non-Veg,10.0,63,Balanced
Low,Vegan,8.5,36,Balanced
Medium,Non-Veg,9.4,24,Mediterranean
Low,Veg,4.3,29,Balanced
Medium,Vegan,5.1,20,Balanced
High,Veg,9.0,64,Balanced
High,Vegan,4.4,22,High Protein
High,Vegan,6.0,25,High Protein
Medium,Non-Veg,10.0,31,Mediterranean
Low,Veg,5.6,53,Balanced
Low,Vegan,4.3,24,Balanced
Low,Non-Veg,7.1,24,Low Carb
Medium,Vegan,4.3,67,Balanced
Medium,Vegan,8.9,63,Balanced
Medium,Vegan,5.7,49,Balanced
Medium,Vegan,5.4,25,Balanced
Medium,Vegan,7.0,29,Balanced
Low,Vegan,6.4,27,Balanced
Medium,Non-Veg,7.4,31,Mediterranean
Medium,Vegan,7.8,26,Balanced
Low,Veg,6.7,55,Balanced
Medium,Non-Veg,5.3,47,Mediterranean
Low,Veg,8.1,22,Balanced
Low,Vegan,6.0,18,Balanced
High,Veg,5.7,18,Balanced
High,Vegan,7.2,37,High Protein
High,Vegan,4.1,66,High Protein
High,Non-Veg,7.6,28,Balanced
Medium,Non-Veg,7.3,43,Mediterranean
High,Vegan,8.7,61,High Protein
Low,Non-Veg,6.2,20,Low Carb
Medium,Veg,9.0,23,Balanced
High,Non-Veg,7.8,60,Balanced
Low,Non-Veg,7.0,62,Low Carb
Medium,Veg,9.7,28,Balanced
Medium,Non-Veg,7.1,25,Mediterranean
High,Vegan,6.2,46,High Protein
Medium,Veg,7.2,27,Balanced
Low,Vegan,6.2,51,Balanced
Medium,Veg,7.6,41,Balanced
Low,Vegan,9.0,63,Balanced
Medium,Vegan,7.0,65,Balanced
High,Non-Veg,7.1,34,Balanced
Low,Vegan,8.2,49,Balanced
Medium,Non-Veg,8.8,28,Mediterranean
Medium,Veg,6.3,51,Balanced
Medium,Vegan,7.3,41,Balanced
Low,Vegan,8.2,22,Balanced
Low,Veg,7.5,46,Balanced
Low,Veg,4.2,65,Balanced
High,Vegan,8.5,65,High Protein
High,Veg,7.8,51,Balanced
Low,Non-Veg,7.9,33,Low Carb
Medium,Veg,5.2,42,Balanced
High,Veg,7.2,54,Balanced
Low,Vegan,8.3,25,Balanced
Medium,Non-Veg,5.7,46,Mediterranean
High,Veg,6.1,69,Balanced
Medium,Non-Veg,8.3,63,Mediterranean
Medium,Non-Veg,6.0,42,Mediterranean
Medium,Non-Veg,6.7,59,Mediterranean
Medium,Vegan,5.4,40,Balanced
High,Veg,9.7,51,Balanced
High,Vegan,7.8,20,High Protein
High,Veg,6.6,47,Balanced
Low,Veg,6.3,67,Balanced
High,Vegan,5.2,51,High Protein
Medium,Non-Veg,6.8,49,Mediterranean
High,Non-Veg,8.0,46,Balanced
Medium,Veg,5.8,26,Balanced
Low,Vegan,7.2,19,Balanced
Medium,Non-Veg,6.4,56,Mediterranean
Medium,Non-Veg,9.1,24,Mediterranean
Medium,Veg,6.0,63,Balanced
Low,Veg,8.2,22,Balanced
High,Vegan,9.1,25,High Protein
High,Veg,6.4,49,Balanced
Low,Non-Veg,6.1,35,Low Carb
Medium,Non-Veg,8.4,55,Mediterranean
High,Non-Veg,4.3,63,Balanced
Low,Non-Veg,7.6,35,Low Carb
High,Vegan,4.6,66,High Protein
Low,Vegan,8.8,58,Balanced
Medium,Veg,6.6,62,Balanced
High,Veg,6.9,33,Balanced
Low,Veg,5.9,38,Balanced
High,Vegan,4.6,27,High Protein
High,Non-Veg,8.9,59,Balanced
High,Veg,6.7,21,Balanced
High,Non-Veg,10.0,61,Balanced
Low,Veg,5.8,25,Balanced
Medium,Veg,6.0,64,Balanced
Low,Veg,5.7,36,Balanced
Low,Veg,6.7,64,Balanced
Low,Veg,9.4,57,Balanced
Medium,Non-Veg,8.5,57,Mediterranean
High,Veg,4.7,68,Balanced
High,Non-Veg,8.8,26,Balanced
High,Vegan,8.0,47,High Protein
Medium,Veg,7.7,34,Balanced
High,Non-Veg,6.0,57,Balanced
Medium,Vegan,6.1,61,Balanced
High,Vegan,7.2,32,High Protein
High,Vegan,6.2,21,High Protein
Low,Non-Veg,9.0,23,Low Carb
Medium,Veg,6.1,33,Balanced
Low,Veg,4.1,43,Balanced
Low,Non-Veg,5.0,54,Low Carb
Low,Veg,5.1,40,Balanced
Medium,Non-Veg,6.6,30,Mediterranean
Medium,Veg,7.3,64,Balanced
High,Vegan,7.1,34,High Protein
Low,Veg,7.7,44,Balanced
High,Non-Veg,6.6,69,Balanced
Low,Non-Veg,6.7,39,Low Carb
Medium,Vegan,9.6,54,Balanced
Medium,Non-Veg,8.8,36,Mediterranean
Medium,Veg,7.6,56,Balanced
Low,Veg,8.4,52,Balanced
Medium,Vegan,4.1,30,Balanced
Low,Non-Veg,5.8,31,Low Carb
High,Vegan,6.4,65,High Protein
Low,Veg,5.8,48,Balanced
High,Vegan,4.7,62,High Protein
Low,Non-Veg,7.6,19,Low Carb
High,Vegan,9.1,63,High Protein
Medium,Non-Veg,7.0,69,Mediterranean
High,Non-Veg,8.0,56,Balanced
Medium,Veg,6.9,54,Balanced
Medium,Veg,6.3,31,Balanced
High,Veg,8.4,26,Balanced
Low,Non-Veg,4.9,27,Low Carb
Low,Vegan,4.2,24,Balanced
Low,Non-Veg,4.8,45,Low Carb
Low,Veg,8.3,63,Balanced
Low,Veg,7.1,42,Balanced
Medium,Vegan,7.6,63,Balanced
Low,Veg,9.5,45,Balanced
Medium,Veg,5.3,19,Balanced
Medium,Veg,8.8,34,Balanced
Medium,Vegan,6.4,69,Balanced
High,Non-Veg,6.2,21,Balanced
High,Veg,7.1,30,Balanced
Medium,Vegan,7.4,35,Balanced
High,Veg,6.7,20,Balanced
Low,Vegan,7.9,68,Balanced
Low,Veg,7.1,54,Balanced
Medium,Vegan,6.7,50,Balanced
Low,Veg,6.4,58,Balanced
Medium,Non-Veg,7.4,41,Mediterranean
Medium,Veg,5.0,25,Balanced
Low,Vegan,5.4,52,Balanced
High,Veg,6.4,19,Balanced
Low,Non-Veg,7.8,50,Low Carb
Low,Veg,10.0,29,Balanced
Medium,Vegan,6.8,39,Balanced
Medium,Vegan,4.3,30,Balanced
Medium,Non-Veg,5.8,27,Mediterranean
Medium,Vegan,8.0,34,Balanced
High,Veg,5.5,60,Balanced
High,Veg,5.0,22,Balanced
High,Veg,8.0,26,Balanced
Medium,Vegan,7.7,30,Balanced
Medium,Veg,4.8,69,Balanced
Medium,Veg,5.7,40,Balanced
High,Veg,8.9,47,Balanced
Medium,Non-Veg,8.3,60,Mediterranean
Low,Vegan,5.2,21,Balanced
Low,Vegan,4.0,38,Balanced
Medium,Vegan,7.4,60,Balanced
Low,Non-Veg,6.6,26,Low Carb
Low,Vegan,7.3,24,Balanced
High,Non-Veg,8.0,33,Balanced
Medium,Non-Veg,5.6,40,Mediterranean
Medium,Vegan,6.4,40,Balanced
High,Veg,5.7,48,Balanced
Low,Veg,5.7,22,Balanced
Low,Vegan,7.8,23,Balanced
Medium,Vegan,7.2,68,Balanced
Low,Non-Veg,4.7,18,Low Carb
High,Vegan,8.1,65,High Protein
High,Non-Veg,6.5,45,Balanced
Medium,Vegan,8.2,35,Balanced
High,Veg,5.5,41,Balanced
High,Veg,5.6,30,Balanced
Medium,Vegan,7.4,50,Balanced
High,Non-Veg,5.4,27,Balanced
High,Veg,6.6,24,Balanced
High,Non-Veg,5.2,54,Balanced
Low,Vegan,6.4,49,Balanced
Medium,Vegan,7.0,62,Balanced
Medium,Veg,7.0,39,Balanced
Medium,Vegan,6.5,33,Balanced
Low,Veg,7.5,41,Balanced
Low,Non-Veg,7.2,69,Low Carb
Medium,Veg,6.9,31,Balanced
Low,Veg,6.1,28,Balanced
Medium,Non-Veg,8.6,36,Mediterranean
Low,Veg,7.6,40,Balanced
High,Veg,5.4,51,Balanced
High,Vegan,8.0,57,High Protein
Medium,Non-Veg,8.3,30,Mediterranean
Low,Veg,6.9,56,Balanced
Low,Non-Veg,7.0,61,Low Carb
High,Non-Veg,4.0,45,Balanced
High,Veg,5.7,57,Balanced
Low,Vegan,8.3,33,Balanced
Low,Non-Veg,5.8,67,Low Carb
Low,Veg,6.8,68,Balanced
Low,Non-Veg,5.7,45,Low Carb
Low,Vegan,7.3,21,Balanced
Low,Vegan,7.6,45,Balanced
Medium,Vegan,7.6,29,Balanced
Low,Veg,5.3,33,Balanced
High,Veg,7.2,66,Balanced
Medium,Vegan,9.4,53,Balanced
Low,Veg,8.1,37,Balanced
High,Vegan,7.1,43,High Protein
Medium,Veg,4.1,43,Balanced
High,Vegan,6.6,39,High Protein
Low,Non-Veg,9.5,26,Low Carb
Low,Vegan,9.0,22,Balanced
Low,Vegan,7.7,34,Balanced
Low,Veg,5.9,66,Balanced
Medium,Veg,7.1,51,Balanced
Medium,Veg,8.2,19,Balanced
High,Veg,8.4,24,Balanced
Low,Veg,7.5,53,Balanced
High,Veg,8.3,30,Balanced
Medium,Non-Veg,6.9,37,Mediterranean
Low,Vegan,6.8,47,Balanced
Low,Vegan,6.3,47,Balanced
Medium,Vegan,7.6,28,Balanced
Medium,Non-Veg,8.5,48,Mediterranean
Medium,Vegan,8.1,20,Balanced
Medium,Non-Veg,5.2,19,Mediterranean
Medium,Non-Veg,5.3,65,Mediterranean
Low,Non-Veg,8.7,20,Low Carb
Medium,Vegan,7.3,32,Balanced
Low,Non-Veg,7.3,34,Low Carb
Low,Vegan,7.3,65,Balanced
Medium,Vegan,9.6,69,Balanced
Medium,Veg,6.3,24,Balanced
Low,Veg,8.7,65,Balanced
Medium,Non-Veg,7.4,22,Mediterranean
Medium,Non-Veg,4.6,51,Mediterranean
Medium,Vegan,5.8,50,Balanced
High,Non-Veg,6.1,62,Balanced
Low,Non-Veg,8.6,33,Low Carb
High,Vegan,8.8,54,High Protein
Medium,Non-Veg,7.5,20,Mediterranean
High,Non-Veg,6.2,64,Balanced
Medium,Vegan,5.6,65,Balanced
High,Vegan,8.7,60,High Protein
Medium,Veg,5.1,68,Balanced
High,Vegan,6.8,67,High Protein
High,Veg,10.0,38,Balanced
High,Non-Veg,6.2,58,Balanced
Low,Vegan,5.1,25,Balanced
High,Vegan,4.4,39,High Protein
Low,Vegan,10.0,68,Balanced
Medium,Non-Veg,7.5,22,Mediterranean
High,Veg,5.7,34,Balanced
Medium,Non-Veg,6.7,54,Mediterranean
Medium,Non-Veg,6.0,31,Mediterranean
High,Vegan,4.2,56,High Protein
Low,Veg,8.2,58,Balanced
High,Non-Veg,7.1,45,Balanced
Medium,Vegan,8.1,48,Balanced
Medium,Non-Veg,7.0,34,Mediterranean
High,Non-Veg,7.2,52,Balanced
Low,Vegan,4.0,57,Balanced
Low,Vegan,8.4,39,Balanced
Medium,Veg,5.4,62,Balanced
Medium,Non-Veg,5.8,65,Mediterranean
Low,Vegan,6.2,46,Balanced
High,Vegan,4.0,27,High Protein
Medium,Veg,6.1,35,Balanced
Low,Veg,6.0,52,Balanced
Medium,Vegan,6.4,61,Balanced
High,Veg,4.4,33,Balanced
Low,Vegan,8.4,67,Balanced
Medium,Non-Veg,7.6,66,Mediterranean
High,Veg,5.7,24,Balanced
Medium,Non-Veg,6.1,47,Mediterranean
High,Non-Veg,8.3,36,Balanced
High,Non-Veg,6.6,40,Balanced
Low,Vegan,5.1,25,Balanced
High,Non-Veg,6.9,34,Balanced
Medium,Non-Veg,5.4,38,Mediterranean
High,Non-Veg,5.9,43,Balanced
High,Vegan,6.9,45,High Protein
Low,Non-Veg,8.6,56,Low Carb
High,Non-Veg,10.0,50,Balanced
High,Veg,9.0,57,Balanced
Medium,Vegan,6.9,36,Balanced
Low,Non-Veg,10.0,46,Low Carb
Low,Veg,7.8,37,Balanced
Low,Vegan,5.5,37,Balanced
High,Vegan,7.1,27,High Protein
Low,Vegan,6.0,29,Balanced
High,Vegan,5.1,50,High Protein
High,Vegan,5.2,42,High Protein
Medium,Vegan,6.8,42,Balanced
Medium,Non-Veg,8.1,21,Mediterranean
Medium,Non-Veg,8.6,21,Mediterranean
Medium,Non-Veg,5.1,26,Mediterranean
Medium,Non-Veg,6.5,32,Mediterranean
High,Veg,7.7,43,Balanced
High,Non-Veg,7.2,32,Balanced
Low,Vegan,8.0,43,Balanced
High,Non-Veg,6.3,45,Balanced
High,Non-Veg,8.9,24,Balanced
Medium,Vegan,7.0,49,Balanced
High,Non-Veg,8.1,29,Balanced
Medium,Non-Veg,6.4,52,Mediterranean
Low,Non-Veg,7.1,69,Low Carb
Low,Veg,4.6,49,Balanced
High,Non-Veg,5.7,26,Balanced
Low,Vegan,6.7,31,Balanced
High,Vegan,7.2,30,High Protein
Low,Non-Veg,10.0,61,Low Carb
Medium,Non-Veg,6.4,50,Mediterranean
Medium,Non-Veg,4.9,49,Mediterranean
Medium,Vegan,9.6,36,Balanced
Medium,Vegan,8.6,47,Balanced
High,Veg,5.3,33,Balanced
Low,Veg,7.7,29,Balanced
High,Veg,8.3,27,Balanced
Medium,Vegan,7.2,19,Balanced
High,Veg,7.5,35,Balanced
Low,Non-Veg,6.1,30,Low Carb
High,Non-Veg,7.8,46,Balanced
Low,Vegan,6.3,41,Balanced
High,Veg,4.0,55,Balanced
Low,Non-Veg,7.3,29,Low Carb
Low,Vegan,4.5,46,Balanced
Medium,Veg,8.5,39,Balanced
Low,Non-Veg,5.3,53,Low Carb
Medium,Veg,4.0,18,Balanced
Medium,Vegan,4.3,60,Balanced
Medium,Veg,6.9,57,Balanced
High,Vegan,7.3,51,High Protein
High,Veg,4.9,51,Balanced
High,Non-Veg,5.4,65,Balanced
High,Vegan,7.0,50,High Protein
Low,Vegan,8.5,21,Balanced
Low,Vegan,5.2,55,Balanced
High,Veg,7.6,47,Balanced
Low,Veg,4.4,69,Balanced
Low,Non-Veg,7.5,63,Low Carb
Medium,Vegan,8.1,37,Balanced
Medium,Vegan,7.8,43,Balanced
Medium,Veg,8.5,32,Balanced
Medium,Veg,8.4,24,Balanced
Low,Non-Veg,9.8,24,Low Carb
High,Non-Veg,7.2,67,Balanced
Low,Veg,9.8,46,Balanced
Low,Vegan,5.6,40,Balanced
Low,Non-Veg,6.7,51,Low Carb
Medium,Veg,6.8,37,Balanced
Medium,Veg,5.4,32,Balanced
Medium,Vegan,4.0,50,Balanced
High,Veg,8.3,34,Balanced
Low,Veg,5.6,37,Balanced
High,Non-Veg,6.4,30,Balanced
Medium,Veg,9.4,61,Balanced
High,Veg,7.9,41,Balanced
Low,Non-Veg,9.6,64,Low Carb
Low,Vegan,7.2,54,Balanced
Medium,Vegan,7.8,24,Balanced
Medium,Non-Veg,6.6,25,Mediterranean
High,Non-Veg,5.7,40,Balanced
Medium,Vegan,7.8,31,Balanced
Medium,Vegan,6.3,21,Balanced
Low,Vegan,8.0,38,Balanced
Medium,Vegan,6.1,63,Balanced
Medium,Vegan,6.7,27,Balanced
Low,Non-Veg,6.9,39,Low Carb
Low,Veg,8.6,47,Balanced
High,Vegan,6.4,47,High Protein
Medium,Vegan,8.8,33,Balanced
Low,Veg,5.6,28,Balanced
High,Veg,7.4,39,Balanced
High,Veg,6.0,46,Balanced
Medium,Veg,8.7,42,Balanced
Medium,Veg,5.8,31,Balanced
High,Veg,5.9,31,Balanced
Low,Non-Veg,5.1,19,Low Carb
High,Veg,7.2,30,Balanced
Medium,Veg,7.9,20,Balanced
Low,Non-Veg,7.7,47,Low Carb
Low,Veg,6.8,35,Balanced
High,Vegan,6.0,53,High Protein
Medium,Vegan,6.6,38,Balanced
High,Veg,6.6,36,Balanced
High,Non-Veg,7.4,33,Balanced
High,Vegan,7.3,45,High Protein
Low,Non-Veg,9.6,21,Low Carb
Low,Vegan,7.1,68,Balanced
Medium,Veg,7.5,32,Balanced
Medium,Non-Veg,7.1,18,Mediterranean
High,Non-Veg,6.5,65,Balanced
High,Non-Veg,7.5,64,Balanced
High,Vegan,6.4,33,High Protein
Medium,Vegan,6.9,37,Balanced
Low,Vegan,8.7,50,Balanced
Low,Veg,6.3,34,Balanced
High,Vegan,7.6,22,High Protein
High,Veg,4.0,22,Balanced
High,Non-Veg,6.7,56,Balanced
High,Non-Veg,6.3,30,Balanced
Medium,Veg,7.2,61,Balanced
Low,Vegan,6.6,53,Balanced
High,Veg,7.2,47,Balanced
Medium,Non-Veg,6.4,21,Mediterranean
High,Non-Veg,7.6,40,Balanced
High,Veg,4.4,38,Balanced
Low,Vegan,7.2,38,Balanced
High,Vegan,5.6,23,High Protein
Low,Veg,8.8,41,Balanced
Low,Veg,5.6,64,Balanced
Low,Vegan,8.5,48,Balanced
Medium,Non-Veg,7.0,36,Mediterranean
Medium,Veg,4.3,55,Balanced
Low,Vegan,5.7,29,Balanced
High,Vegan,8.3,31,High Protein
Low,Non-Veg,8.2,67,Low Carb
High,Non-Veg,5.1,29,Balanced
Low,Non-Veg,9.3,32,Low Carb
High,Non-Veg,7.0,36,Balanced
Medium,Non-Veg,8.3,45,Mediterranean
High,Veg,5.2,57,Balanced
Low,Vegan,6.3,58,Balanced
Medium,Veg,7.6,22,Balanced
High,Veg,6.5,22,Balanced
High,Veg,4.0,23,Balanced
High,Veg,6.7,40,Balanced
High,Veg,4.1,20,Balanced
High,Non-Veg,5.4,54,Balanced
Medium,Non-Veg,4.9,50,Mediterranean
Medium,Vegan,8.7,60,Balanced
Medium,Veg,9.2,38,Balanced
Medium,Vegan,7.5,37,Balanced
Low,Non-Veg,6.7,18,Low Carb
Medium,Non-Veg,7.0,56,Mediterranean
High,Non-Veg,8.7,64,Balanced
High,Veg,4.0,34,Balanced
Medium,Veg,5.4,46,Balanced
High,Non-Veg,8.5,25,Balanced
Medium,Vegan,8.8,43,Balanced
High,Vegan,7.9,45,High Protein
Low,Non-Veg,5.4,51,Low Carb
Low,Vegan,8.5,43,Balanced
Medium,Non-Veg,9.0,30,Mediterranean
Medium,Vegan,8.1,61,Balanced
Medium,Non-Veg,4.0,54,Mediterranean
High,Vegan,7.2,30,High Protein
Medium,Veg,7.9,55,Balanced
Low,Non-Veg,6.2,42,Low Carb
High,Non-Veg,7.3,64,Balanced
Medium,Vegan,6.2,40,Balanced
High,Non-Veg,5.7,39,Balanced
High,Non-Veg,9.3,38,Balanced
Medium,Non-Veg,7.3,47,Mediterranean
High,Veg,5.3,28,Balanced
Low,Veg,4.9,21,Balanced
Low,Vegan,5.7,50,Balanced
High,Veg,5.7,64,Balanced
Medium,Vegan,7.2,29,Balanced
High,Veg,7.7,26,Balanced
Low,Vegan,7.7,49,Balanced
High,Veg,5.9,28,Balanced
High,Veg,8.4,54,Balanced
Low,Vegan,8.8,41,Balanced
High,Non-Veg,6.6,24,Balanced
High,Non-Veg,5.5,25,Balanced
Medium,Veg,7.2,50,Balanced
Medium,Vegan,10.0,42,Balanced
Low,Non-Veg,5.4,18,Low Carb
Low,Vegan,6.2,20,Balanced
Low,Non-Veg,7.1,57,Low Carb
Medium,Vegan,7.8,45,Balanced
Low,Veg,4.0,60,Balanced
Low,Vegan,9.0,50,Balanced
Low,Non-Veg,8.9,63,Low Carb
Medium,Veg,6.4,18,Balanced
High,Vegan,10.0,55,High Protein
Low,Non-Veg,8.8,44,Low Carb
High,Veg,8.8,55,Balanced
Low,Vegan,8.8,52,Balanced
High,Non-Veg,8.7,27,Balanced
Medium,Vegan,7.0,29,Balanced
Medium,Vegan,6.8,27,Balanced
Low,Veg,5.6,51,Balanced
High,Veg,6.1,41,Balanced
Medium,Non-Veg,6.5,45,Mediterranean
Low,Veg,7.1,39,Balanced
Low,Non-Veg,9.4,62,Low Carb
Medium,Vegan,4.0,33,Balanced
Medium,Vegan,9.0,30,Balanced
Low,Non-Veg,5.5,53,Low Carb
High,Vegan,6.8,53,High Protein
High,Veg,5.9,60,Balanced
High,Vegan,9.8,40,High Protein
Low,Veg,6.3,31,Balanced
Medium,Non-Veg,7.8,49,Mediterranean
Low,Non-Veg,7.9,20,Low Carb
Medium,Vegan,5.3,44,Balanced
High,Vegan,6.9,36,High Protein
High,Veg,8.8,39,Balanced
Medium,Veg,5.7,18,Balanced
Medium,Vegan,8.2,22,Balanced
Low,Vegan,6.5,66,Balanced
High,Non-Veg,8.7,50,Balanced
Low,Non-Veg,9.6,68,Low Carb
Low,Non-Veg,4.0,36,Low Carb
Low,Vegan,5.0,53,Balanced
High,Vegan,6.3,68,High Protein
Low,Vegan,9.2,23,Balanced
Low,Non-Veg,7.8,32,Low Carb
Low,Vegan,5.1,53,Balanced
Low,Veg,8.0,50,Balanced
Low,Vegan,5.6,41,Balanced
Low,Vegan,8.3,44,Balanced
High,Vegan,7.8,66,High Protein
Low,Vegan,5.6,28,Balanced
Medium,Vegan,6.9,66,Balanced
Low,Veg,8.8,40,Balanced
Low,Veg,4.2,50,Balanced
High,Vegan,7.5,58,High Protein
High,Non-Veg,5.3,63,Balanced
Medium,Vegan,7.0,64,Balanced
Medium,Vegan,7.7,46,Balanced
High,Vegan,10.0,48,High Protein
High,Non-Veg,7.0,18,Balanced
Low,Non-Veg,9.2,51,Low Carb
High,Non-Veg,5.7,35,Balanced
Medium,Veg,6.3,35,Balanced
Low,Non-Veg,7.9,23,Low Carb
Medium,Veg,7.3,69,Balanced
Low,Veg,6.5,57,Balanced
High,Non-Veg,6.5,18,Balanced
Medium,Non-Veg,9.0,64,Mediterranean
Low,Non-Veg,6.6,59,Low Carb
Low,Veg,5.5,47,Balanced
High,Vegan,5.7,21,High Protein
High,Non-Veg,8.0,49,Balanced
High,Non-Veg,10.0,27,Balanced
Medium,Non-Veg,6.2,60,Mediterranean
Low,Veg,10.0,22,Balanced
High,Veg,7.0,26,Balanced
Medium,Vegan,6.6,22,Balanced
Medium,Non-Veg,5.6,28,Mediterranean
Medium,Veg,6.7,52,Balanced
High,Vegan,5.9,44,High Protein
High,Non-Veg,5.7,21,Balanced
Low,Veg,4.5,27,Balanced
Low,Non-Veg,9.6,56,Low Carb
High,Non-Veg,8.6,50,Balanced
Medium,Veg,7.4,55,Balanced
Medium,Veg,6.8,25,Balanced
Medium,Veg,7.0,66,Balanced
Low,Non-Veg,5.8,41,Low Carb
Medium,Non-Veg,5.3,56,Mediterranean
Low,Vegan,8.1,50,Balanced
Low,Non-Veg,6.6,58,Low Carb
Medium,Veg,7.5,60,Balanced
Medium,Non-Veg,4.5,36,Mediterranean
High,Vegan,6.5,19,High Protein
High,Vegan,5.3,28,High Protein
Medium,Veg,7.7,52,Balanced
Low,Veg,8.5,34,Balanced
Low,Vegan,9.2,59,Balanced
Low,Vegan,6.1,20,Balanced
Low,Vegan,5.3,39,Balanced
Low,Veg,6.4,52,Balanced
High,Vegan,6.0,38,High Protein
Medium,Vegan,7.6,42,Balanced
High,Veg,4.9,56,Balanced
Low,Non-Veg,4.4,19,Low Carb
Low,Non-Veg,6.5,18,Low Carb
Low,Vegan,8.1,24,Balanced
Low,Non-Veg,5.5,37,Low Carb
Medium,Non-Veg,8.3,60,Mediterranean
Low,Non-Veg,7.5,23,Low Carb
Medium,Non-Veg,9.3,53,Mediterranean
Low,Vegan,5.8,68,Balanced
Medium,Non-Veg,4.6,38,Mediterranean
High,Non-Veg,7.9,68,Balanced
Low,Veg,7.4,63,Balanced
Medium,Vegan,7.3,52,Balanced
High,Veg,5.4,53,Balanced
Low,Veg,8.2,25,Balanced
Low,Vegan,6.0,67,Balanced
Low,Non-Veg,7.3,21,Low Carb
Medium,Veg,6.3,60,Balanced
Medium,Vegan,7.5,33,Balanced
High,Non-Veg,5.2,20,Balanced
Medium,Vegan,7.7,24,Balanced
Medium,Veg,8.0,19,Balanced
Low,Non-Veg,7.2,18,Low Carb
Low,Non-Veg,9.5,18,Low Carb
Low,Vegan,7.3,55,Balanced
Low,Non-Veg,8.4,68,Low Carb
Low,Veg,7.1,24,Balanced
Low,Veg,8.2,41,Balanced
Low,Veg,4.7,22,Balanced
High,Vegan,7.0,38,High Protein
High,Non-Veg,5.3,45,Balanced
High,Non-Veg,7.2,35,Balanced
High,Non-Veg,7.6,41,Balanced
Low,Veg,8.2,49,Balanced
High,Non-Veg,7.7,62,Balanced
Low,Veg,6.5,50,Balanced
High,Non-Veg,5.9,27,Balanced
Medium,Veg,4.0,26,Balanced
High,Non-Veg,7.1,66,Balanced
High,Vegan,8.7,50,High Protein
Low,Vegan,7.2,50,Balanced
High,Veg,6.9,24,Balanced
Medium,Veg,7.2,21,Balanced
Low,Non-Veg,6.4,45,Low Carb
Low,Non-Veg,7.3,40,Low Carb
High,Vegan,6.4,49,High Protein
Low,Non-Veg,5.7,61,Low Carb
Low,Veg,6.9,33,Balanced
Low,Veg,6.9,63,Balanced
Low,Veg,9.8,27,Balanced
Low,Veg,5.8,31,Balanced
Low,Veg,6.8,56,Balanced
Medium,Vegan,6.6,53,Balanced
High,Vegan,6.3,51,High Protein
Medium,Veg,7.8,41,Balanced
Low,Non-Veg,10.0,35,Low Carb
Low,Veg,6.5,33,Balanced
High,Vegan,7.8,58,High Protein
Medium,Veg,4.1,54,Balanced
High,Vegan,6.4,58,High Protein
Medium,Vegan,9.3,42,Balanced
Low,Veg,6.9,25,Balanced
High,Veg,7.8,41,Balanced
High,Non-Veg,6.1,37,Balanced
Low,Vegan,7.4,65,Balanced
High,Non-Veg,9.4,47,Balanced
Medium,Veg,5.3,37,Balanced
Medium,Vegan,10.0,35,Balanced
Medium,Non-Veg,4.7,21,Mediterranean
Medium,Non-Veg,6.3,65,Mediterranean
Low,Non-Veg,5.7,53,Low Carb
High,Veg,6.6,23,Balanced
Medium,Veg,5.7,20,Balanced
Low,Veg,5.6,35,Balanced
High,Vegan,5.2,64,High Protein
High,Veg,8.0,57,Balanced
Low,Vegan,6.6,35,Balanced
Low,Non-Veg,6.3,40,Low Carb
Medium,Non-Veg,7.4,52,Mediterranean
High,Veg,4.8,23,Balanced
High,Non-Veg,7.5,43,Balanced
Low,Veg,6.9,38,Balanced
High,Vegan,6.9,41,High Protein
Medium,Non-Veg,7.8,32,Mediterranean
High,Veg,9.5,44,Balanced
Low,Non-Veg,7.5,49,Low Carb
Low,Non-Veg,6.7,29,Low Carb
Medium,Veg,5.2,22,Balanced
Medium,Non-Veg,4.0,24,Mediterranean
High,Non-Veg,7.2,39,Balanced
High,Non-Veg,5.1,44,Balanced
Low,Non-Veg,4.0,32,Low Carb
Medium,Vegan,6.5,56,Balanced
Medium,Non-Veg,7.4,62,Mediterranean
Medium,Non-Veg,8.1,52,Mediterranean
High,Veg,8.6,43,Balanced
Medium,Vegan,8.3,40,Balanced
Low,Veg,8.4,30,Balanced
Low,Veg,4.8,43,Balanced
High,Veg,6.8,20,Balanced
High,Vegan,7.9,46,High Protein
Medium,Veg,7.1,19,Balanced
High,Veg,6.8,45,Balanced
Low,Veg,7.0,40,Balanced
Medium,Non-Veg,7.4,53,Mediterranean
Low,Veg,6.9,66,Balanced
Medium,Vegan,5.7,23,Balanced
High,Vegan,4.4,28,High Protein
Medium,Non-Veg,6.7,55,Mediterranean
Medium,Vegan,7.1,51,Balanced
Low,Vegan,7.1,34,Balanced
Low,Non-Veg,8.4,20,Low Carb
Medium,Veg,8.7,61,Balanced
High,Non-Veg,6.8,63,Balanced
High,Veg,6.9,51,Balanced
Low,Veg,7.9,39,Balanced
High,Vegan,7.6,46,High Protein
Low,Non-Veg,6.3,46,Low Carb
